Timestamp,Hospital_ID,Ambulance_Arrivals,Patient_Waiting_Time_Minutes,A&E_Bed_Occupancy,Patient_Severity_Score,Current_Patients,Available_Beds,Hour,DayOfWeek,Month
2025-01-01 00:00:00,Hospital_1,2.4,131,0.887385290634984,7,88,100,0,2,1
2025-01-01 00:00:00,Hospital_2,4.8,100,0.7180439601930889,7,53,75,0,2,1
2025-01-01 00:00:00,Hospital_3,2.4,92,0.6933513251101947,9,62,90,0,2,1
2025-01-01 00:00:00,Hospital_4,2.4,118,0.7830761497152242,6,39,50,0,2,1
2025-01-01 00:00:00,Hospital_5,1.2,123,0.8138722927078912,5,56,70,0,2,1
2025-01-01 01:00:00,Hospital_1,6.0,98,0.7573110884171967,6,75,100,1,2,1
2025-01-01 01:00:00,Hospital_2,6.0,91,0.7147940133783296,7,53,75,1,2,1
2025-01-01 01:00:00,Hospital_3,7.199999999999999,118,0.7841575809059433,6,70,90,1,2,1
2025-01-01 01:00:00,Hospital_4,1.2,107,0.8317562027809817,5,41,50,1,2,1
2025-01-01 01:00:00,Hospital_5,1.2,105,0.7750357983803637,8,54,70,1,2,1
2025-01-01 02:00:00,Hospital_1,6.0,98,0.7223390317995909,8,72,100,2,2,1
2025-01-01 02:00:00,Hospital_2,7.199999999999999,105,0.8162849725145238,6,61,75,2,2,1
2025-01-01 02:00:00,Hospital_3,6.0,89,0.6860310457081059,6,61,90,2,2,1
2025-01-01 02:00:00,Hospital_4,0.0,106,0.8226378647144832,6,41,50,2,2,1
2025-01-01 02:00:00,Hospital_5,4.8,115,0.8818879615842417,7,61,70,2,2,1
2025-01-01 03:00:00,Hospital_1,6.0,94,0.721793043133376,7,72,100,3,2,1
2025-01-01 03:00:00,Hospital_2,9.6,113,0.7935419434488081,6,59,75,3,2,1
2025-01-01 03:00:00,Hospital_3,4.8,110,0.8281863899263455,5,74,90,3,2,1
2025-01-01 03:00:00,Hospital_4,2.4,104,0.849353354140025,6,42,50,3,2,1
2025-01-01 03:00:00,Hospital_5,1.2,108,0.8370720647197972,7,58,70,3,2,1
2025-01-01 04:00:00,Hospital_1,9.6,107,0.8316534597913007,6,83,100,4,2,1
2025-01-01 04:00:00,Hospital_2,2.4,102,0.7514854981912168,5,56,75,4,2,1
2025-01-01 04:00:00,Hospital_3,6.0,99,0.772974763560512,7,69,90,4,2,1
2025-01-01 04:00:00,Hospital_4,2.4,98,0.745329307588748,6,37,50,4,2,1
2025-01-01 04:00:00,Hospital_5,7.199999999999999,108,0.8506460880844442,7,59,70,4,2,1
2025-01-01 05:00:00,Hospital_1,6.0,97,0.6966168707477343,6,69,100,5,2,1
2025-01-01 05:00:00,Hospital_2,7.199999999999999,118,0.8322766153804246,7,62,75,5,2,1
2025-01-01 05:00:00,Hospital_3,7.199999999999999,114,0.8121350469747289,8,73,90,5,2,1
2025-01-01 05:00:00,Hospital_4,0.0,121,0.8595525802061468,6,42,50,5,2,1
2025-01-01 05:00:00,Hospital_5,9.6,95,0.7554056871721803,7,52,70,5,2,1
2025-01-01 06:00:00,Hospital_1,12.0,97,0.7743875777802716,6,77,100,6,2,1
2025-01-01 06:00:00,Hospital_2,2.4,111,0.7906340619391066,7,59,75,6,2,1
2025-01-01 06:00:00,Hospital_3,7.199999999999999,99,0.7728964739994494,6,69,90,6,2,1
2025-01-01 06:00:00,Hospital_4,3.5999999999999996,91,0.7120211896144204,6,35,50,6,2,1
2025-01-01 06:00:00,Hospital_5,2.4,112,0.7952293079461374,7,55,70,6,2,1
2025-01-01 07:00:00,Hospital_1,2.4,115,0.8295202605016584,6,82,100,7,2,1
2025-01-01 07:00:00,Hospital_2,6.0,113,0.7432944942580445,5,55,75,7,2,1
2025-01-01 07:00:00,Hospital_3,6.0,98,0.74276194008542,6,66,90,7,2,1
2025-01-01 07:00:00,Hospital_4,6.0,97,0.7538172488193812,6,37,50,7,2,1
2025-01-01 07:00:00,Hospital_5,4.8,99,0.7905357684257107,5,55,70,7,2,1
2025-01-01 08:00:00,Hospital_1,8.4,107,0.7950958754155512,5,79,100,8,2,1
2025-01-01 08:00:00,Hospital_2,8.4,96,0.7608440796602718,6,57,75,8,2,1
2025-01-01 08:00:00,Hospital_3,6.0,108,0.8686184336468747,5,78,90,8,2,1
2025-01-01 08:00:00,Hospital_4,1.2,113,0.8000889734933803,4,40,50,8,2,1
2025-01-01 08:00:00,Hospital_5,7.199999999999999,114,0.807012703264919,5,56,70,8,2,1
